pair,kind,named_dichotomy,carrier,input_type,target,metric,layer,value,corroboration_only,unit_of_analysis,reporting_order,statement,note
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,pole_pair,heads|tails,cosine_AB,0,0.283505,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_AB(heads|tails) = 0.2835 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,frame_term,coin,cosine_A_frameterm,0,0.07313,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_A_frameterm(coin) = 0.0731 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,frame_term,coin,cosine_B_frameterm,0,0.111996,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_B_frameterm(coin) = 0.1120 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,edge,midpoint_t,0,0.483016,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, midpoint_t(edge) = 0.4830 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,edge,remainder_ratio,0,0.980452,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, remainder_ratio(edge) = 0.9805 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,edge,cosine_MA,0,0.070115,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MA(edge) = 0.0701 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,edge,cosine_MB,0,0.088074,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MB(edge) = 0.0881 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,edge,cosine_M_frameterm,0,0.097083,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_M_frameterm(edge) = 0.0971 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,side,midpoint_t,0,0.422319,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, midpoint_t(side) = 0.4223 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,side,remainder_ratio,0,1.027674,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, remainder_ratio(side) = 1.0277 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
coin_heads_tails,true_dichotomy,heads / tails,matched_syntax,candidate_middle,side,cosine_MA,0,0.05947,True,Tokenization fixes the position; the unit of analysis is the residual representation carried at that position; it is read across layers 0 to output. The token is not the unit.,The corpus named the dichotomy; the model processed that naming; the measurement recorded the processing; a human interprets the record.,"The corpus named the dichotomy heads / tails; the model processed that naming; the measurement recorded, at layer 0, cosine_MA(side) = 0.0595 under carrier 'matched_syntax' (corroboration only); a human interprets the record.",
